id	name	stack	parent	summary	zoneId	zoneTitle	mem	anchors	shape	scriptSrc	notes	presets	extract
make	Make	Make		Makefile tasks; make {target}; -C for directory.	project-root	Makefile	Makefile; targets	Makefile GNUmakefile	make -C {dir} {target}	Makefile targets	-C selects directory without cd.	default=make|help=make help	Makefile:
ninja	Ninja	C++	cmake	Fast build executor; build.ninja.	build	Ninja build dir	build.ninja	build.ninja	ninja -C {build}	build.ninja	Almost always -C into build dir.	build=ninja -C build	build.ninja:
meson	Meson	C++		Build system; meson.build; meson setup.	source-root	Meson source	meson.build; builddir	meson.build	meson setup {builddir} then meson compile -C {builddir}	meson.build	setup then compile -C.	setup=meson setup build|compile=meson compile -C build	meson.build:
bazel	Bazel	Bazel		Hermetic build; MODULE.bazel; bazel build //.	workspace	Bazel workspace	MODULE.bazel / WORKSPACE; BUILD files	MODULE.bazel WORKSPACE	bazel build {target}	BUILD targets	//package:target from workspace root only.	build=bazel build //...|test=bazel test //...	MODULE.bazel:
vercel	Vercel CLI	Node.js	node	Deploy Next/frontends; vercel.json.	project-root	Vercel project	vercel.json; .vercel	vercel.json	vercel deploy --prod --scope {team}	vercel project link	--scope selects team; Root Directory is a Vercel setting.	dev=pnpm exec vercel dev|deploy=pnpm exec vercel deploy	vercel.json:
netlify	Netlify CLI	Node.js	node	Deploy static/JAMstack; netlify.toml.	project-root	Netlify site	netlify.toml	netlify.toml	netlify {cmd}	netlify.toml build	Local netlify dev proxies functions.	dev=pnpm exec netlify dev|deploy=pnpm exec netlify deploy	netlify.toml:build
supabase	Supabase CLI	Supabase	docker	Local BaaS; supabase/config.toml.	project-root	Supabase	supabase/; config.toml	supabase/config.toml	supabase {cmd}	supabase config	Docker required for local stack.	start=supabase start|db-reset=supabase db reset	supabase/config.toml:
firebase	Firebase CLI	Firebase	node	Google BaaS; firebase.json; emulators.	project-root	Firebase	firebase.json; .firebaserc	firebase.json .firebaserc	firebase {cmd}	firebase.json	Project id in .firebaserc.	emulators=pnpm exec firebase emulators:start|deploy=pnpm exec firebase deploy	firebase.json:
convex	Convex	Convex	node	Reactive backend; convex/; npx convex dev.	convex	Convex functions	convex/; schema	convex package.json	convex dev / convex deploy	convex functions plus scripts	Pair with Next/Vite frontend package.	dev=pnpm exec convex dev|deploy=pnpm exec convex deploy	package.json:dependencies.convex,scripts
stripe-cli	Stripe CLI	Stripe		Payments tooling; stripe listen; webhooks.	project-root	Stripe	webhook endpoint; API keys in env	.env	stripe listen --forward-to {url}	env plus dashboard	Local listen bridges to app port.	listen=stripe listen --forward-to localhost:3000/api/webhooks/stripe	.env:STRIPE_SECRET_KEY
aws-cli	AWS CLI	AWS		AWS control plane CLI; profiles; region.	config	AWS config	~/.aws/config; profile	.	aws {service} {verb} --profile {name}	AWS profile plus region	Profile/region are standing position — not cwd.	whoami=aws sts get-caller-identity	:
gcloud	gcloud	GCP		Google Cloud CLI; configurations; project set.	config	gcloud config	active configuration; project id	.	gcloud {group} {cmd} --project {id}	gcloud config	Project/config are standing position.	config=gcloud config list	:
az	Azure CLI	Azure		az CLI; subscriptions; resource groups.	config	Azure CLI	subscription; default RG	.	az {group} {cmd}	az account	Subscription is standing position.	account=az account show	:
elixir	Elixir / Mix	Elixir		BEAM language; mix.exs; mix tasks.	project-root	Mix project	mix.exs; mix.lock	mix.exs mix.lock	mix {task}	mix.exs aliases / tasks	Always from mix.exs directory.	deps=mix deps.get|test=mix test	mix.exs:
phoenix	Phoenix	Elixir	elixir	Elixir web framework; mix phx.server.	app	Phoenix app	lib/; assets/; config/	mix.exs config/dev.exs	mix phx.server	mix aliases	phx.server from Mix project root.	server=mix phx.server	mix.exs:
swift	Swift / SPM	Swift		Swift Package Manager; Package.swift.	package-root	Swift package	Package.swift	Package.swift	swift build / swift test / swift run	Package.swift targets	SPM root is Package.swift dir.	build=swift build|test=swift test	Package.swift:
xcode	Xcode	Swift	swift	Apple IDE/build; .xcodeproj; xcodebuild.	project	Xcode project	*.xcodeproj; schemes	.	xcodebuild -scheme {name}	shared schemes	Scheme/destination are the standing selectors.	build=xcodebuild -scheme {scheme} build	:
cocoapods	CocoaPods	Swift		iOS deps; Podfile; pod install.	project	CocoaPods	Podfile; *.xcworkspace	Podfile Podfile.lock	pod install	Podfile	Opens .xcworkspace after install — not .xcodeproj.	install=pod install	Podfile:
zig	Zig	Zig		Language plus build; build.zig.	project-root	Zig project	build.zig; build.zig.zon	build.zig build.zig.zon	zig build {step}	build.zig steps	Steps are named in build.zig.	build=zig build|test=zig build test	build.zig:
scala	Scala / sbt	Scala		sbt; build.sbt; sbt compile/test.	project-root	sbt project	build.sbt; project/	build.sbt project/build.properties	sbt {task}	build.sbt settings	sbt from project root.	compile=sbt compile|test=sbt test	build.sbt:
mill	Mill	Scala		Scala/Java build; build.sc.	project-root	Mill	build.sc	build.sc	./mill {module}.{task}	build.sc modules	Module.task from root.	compile=./mill __.compile	build.sc:
julia	Julia	Julia		Scientific computing; Project.toml; --project.	project-root	Julia project	Project.toml; Manifest.toml	Project.toml Manifest.toml	julia --project=.	Project.toml deps	--project selects env without activate dance.	status=julia --project=. -e "using Pkg; Pkg.status()"	Project.toml:name,deps
graphql	GraphQL	GraphQL	node	Schema-first APIs; codegen config.	schema	GraphQL schema	schema.graphql; codegen	schema.graphql codegen.ts	graphql-codegen	codegen config plus server	Codegen is a build step — surface schema path.	codegen=pnpm exec graphql-codegen	codegen.ts:
protobuf	Protocol Buffers	API		IDL plus codegen; .proto; buf or protoc.	proto	Protobuf	*.proto; buf.yaml	buf.yaml buf.gen.yaml	buf generate / protoc	buf.yaml modules	buf.yaml workspace root.	generate=buf generate|lint=buf lint	buf.yaml:
buf	Buf	API	protobuf	Protobuf toolchain; buf.yaml.	proto	Buf workspace	buf.yaml; buf.gen.yaml	buf.yaml buf.lock	buf {cmd}	buf.yaml	Stay at buf workspace root.	lint=buf lint|generate=buf generate	buf.yaml:
tailwind	Tailwind CSS	Node.js	node	Utility CSS; tailwind.config; PostCSS pipeline.	config	Tailwind	tailwind.config; globals.css	tailwind.config.ts postcss.config.js	via PostCSS / Vite	tailwind config plus build tool	Almost always driven by Vite/Next — not a standalone server.	build=pnpm run build	package.json:devDependencies.tailwindcss
postcss	PostCSS	Node.js	node	CSS transform pipeline; postcss.config.	config	PostCSS	postcss.config	postcss.config.js package.json	postcss {input} -o {output}	postcss.config plus scripts	Usually embedded in Vite/Next.	build=pnpm run build	postcss.config.js:
threejs	Three.js	Node.js	node	3D library; usually Vite/Webpack host.	src	Three.js scene	scene/camera/renderer modules	package.json	{pm} run dev via host	host scripts	Library only — bundler controls.	dev=pnpm run dev	package.json:dependencies.three
sentry-cli	Sentry CLI	Sentry		Error tracking; sentry-cli releases/sourcemaps.	project-root	Sentry	org/project; auth token env	.sentryclirc package.json	sentry-cli {cmd}	.sentryclirc plus env	Org/project are standing position.	info=sentry-cli info	.sentryclirc:
openapi	OpenAPI	API		API contract; openapi.yaml; generators.	spec	OpenAPI spec	openapi.yaml / swagger.json	openapi.yaml swagger.json	openapi-generator-cli	OpenAPI document	Spec file is the standing artifact.	lint=echo openapi.yaml	openapi.yaml:
